Class                  Precision      Recall    F1-Score   Support
------------------------------------------------------------------
Adana Kebap               89.23%      95.08%      92.06%        61
Aşure                     96.98%      99.31%      98.13%       291
Baklava                   94.09%      98.31%      96.15%       178
Beyaz Ekmek               95.49%      93.38%      94.42%       136
Bulgur Pilavı             91.59%      92.45%      92.02%       106
Börek                     94.77%      93.33%      94.05%       330
Esmer Ekmek               82.19%      88.24%      85.11%       136
Ezogelin Çorbası          80.31%      79.07%      79.69%       129
Gözleme                   97.20%      95.21%      96.19%       146
Hamburger                 96.19%      95.28%      95.73%       106
Haşlanmış Yumurta         94.03%      98.44%      96.18%        64
Kadayıf                   92.66%      85.59%      88.99%       118
Karnıyarık                97.45%      97.45%      97.45%       196
Kumpir                    98.41%      95.38%      96.88%        65
Kuru Fasulye              85.71%      82.76%      84.21%        58
Köfte                     83.87%      83.87%      83.87%        62
Künefe                    82.46%      87.04%      84.68%        54
Kısır                     95.19%      95.19%      95.19%       104
Lahmacun                  96.61%      98.28%      97.44%       116
Mantı                    100.00%     100.00%     100.00%        86
Menemen                   90.00%      88.24%      89.11%        51
Mercimek Çorbası          82.35%      87.50%      84.85%       144
Mısır Ekmeği              91.94%      83.82%      87.69%        68
Nohut                     82.26%      85.00%      83.61%        60
Pastane Poğaçası          92.23%      92.23%      92.23%       103
Patates Kızartması       100.00%      94.29%      97.06%        70
Pide                      94.87%      94.07%      94.47%       118
Pirinç Pilavı             97.01%      97.01%      97.01%        67
Revani                    97.20%      96.30%      96.74%       108
Sütlaç                    99.12%      96.55%      97.82%       232
Tarhana Çorbası           68.67%      63.33%      65.90%        90
Tavuk                     89.66%      86.67%      88.14%        60
Tavuk Döner               82.81%      86.89%      84.80%        61
Tulumba Tatlısı           89.06%      95.00%      91.94%        60
Yaprak Sarma              95.65%      97.78%      96.70%        90
Yulaf Ekmeği              87.04%      78.33%      82.46%        60
Çiğ Köfte                 94.85%      97.73%      96.27%       132
İskender                  89.06%      90.48%      89.76%        63
Şakşuka                   86.76%      98.33%      92.19%        60
Şekerpare                 95.05%      90.10%      92.51%       192
------------------------------------------------------------------
Accuracy                                          92.44%      4431
Macro avg                 91.25%      91.33%      91.24%      4431
Weighted avg              92.48%      92.44%      92.42%      4431
