Class                  Precision      Recall    F1-Score   Support
------------------------------------------------------------------
Adana Kebap               85.29%      95.08%      89.92%        61
Aşure                     98.26%      97.25%      97.75%       291
Baklava                   95.53%      96.07%      95.80%       178
Beyaz Ekmek               92.75%      94.12%      93.43%       136
Bulgur Pilavı             95.05%      90.57%      92.75%       106
Börek                     92.71%      92.42%      92.56%       330
Esmer Ekmek               72.67%      86.03%      78.79%       136
Ezogelin Çorbası          76.52%      78.29%      77.39%       129
Gözleme                   95.30%      97.26%      96.27%       146
Hamburger                 97.03%      92.45%      94.69%       106
Haşlanmış Yumurta         92.06%      90.62%      91.34%        64
Kadayıf                   88.50%      84.75%      86.58%       118
Karnıyarık                96.50%      98.47%      97.47%       196
Kumpir                    93.33%      86.15%      89.60%        65
Kuru Fasulye              78.69%      82.76%      80.67%        58
Köfte                     78.69%      77.42%      78.05%        62
Künefe                    75.93%      75.93%      75.93%        54
Kısır                     95.24%      96.15%      95.69%       104
Lahmacun                 100.00%      92.24%      95.96%       116
Mantı                     94.32%      96.51%      95.40%        86
Menemen                   85.19%      90.20%      87.62%        51
Mercimek Çorbası          80.13%      86.81%      83.33%       144
Mısır Ekmeği              80.60%      79.41%      80.00%        68
Nohut                     80.00%      73.33%      76.52%        60
Pastane Poğaçası          93.00%      90.29%      91.63%       103
Patates Kızartması        90.67%      97.14%      93.79%        70
Pide                      92.31%      91.53%      91.91%       118
Pirinç Pilavı             96.97%      95.52%      96.24%        67
Revani                    96.26%      95.37%      95.81%       108
Sütlaç                    95.00%      98.28%      96.61%       232
Tarhana Çorbası           65.75%      53.33%      58.90%        90
Tavuk                     74.24%      81.67%      77.78%        60
Tavuk Döner               83.02%      72.13%      77.19%        61
Tulumba Tatlısı           90.62%      96.67%      93.55%        60
Yaprak Sarma              98.84%      94.44%      96.59%        90
Yulaf Ekmeği              84.78%      65.00%      73.58%        60
Çiğ Köfte                 96.99%      97.73%      97.36%       132
İskender                  77.94%      84.13%      80.92%        63
Şakşuka                   88.89%      93.33%      91.06%        60
Şekerpare                 96.20%      92.19%      94.15%       192
------------------------------------------------------------------
Accuracy                                          90.36%      4431
Macro avg                 88.54%      88.23%      88.27%      4431
Weighted avg              90.45%      90.36%      90.32%      4431
