Class                  Precision      Recall    F1-Score   Support
------------------------------------------------------------------
Adana Kebap               90.48%      93.44%      91.94%        61
Aşure                     89.47%      99.31%      94.14%       291
Baklava                   91.01%      96.63%      93.73%       178
Beyaz Ekmek               88.49%      90.44%      89.45%       136
Bulgur Pilavı             91.26%      88.68%      89.95%       106
Börek                     95.91%      92.42%      94.14%       330
Esmer Ekmek               75.66%      84.56%      79.86%       136
Ezogelin Çorbası          80.33%      75.97%      78.09%       129
Gözleme                   95.77%      93.15%      94.44%       146
Hamburger                 91.82%      95.28%      93.52%       106
Haşlanmış Yumurta         92.31%      93.75%      93.02%        64
Kadayıf                   90.65%      82.20%      86.22%       118
Karnıyarık                94.95%      95.92%      95.43%       196
Kumpir                    93.33%      86.15%      89.60%        65
Kuru Fasulye              80.00%      75.86%      77.88%        58
Köfte                     88.89%      77.42%      82.76%        62
Künefe                    77.59%      83.33%      80.36%        54
Kısır                     92.66%      97.12%      94.84%       104
Lahmacun                  96.40%      92.24%      94.27%       116
Mantı                     94.32%      96.51%      95.40%        86
Menemen                   91.67%      86.27%      88.89%        51
Mercimek Çorbası          77.02%      86.11%      81.31%       144
Mısır Ekmeği              93.75%      66.18%      77.59%        68
Nohut                     76.67%      76.67%      76.67%        60
Pastane Poğaçası          85.98%      89.32%      87.62%       103
Patates Kızartması        97.14%      97.14%      97.14%        70
Pide                      93.16%      92.37%      92.77%       118
Pirinç Pilavı             97.01%      97.01%      97.01%        67
Revani                    92.79%      95.37%      94.06%       108
Sütlaç                    96.54%      96.12%      96.33%       232
Tarhana Çorbası           70.24%      65.56%      67.82%        90
Tavuk                     81.13%      71.67%      76.11%        60
Tavuk Döner               77.05%      77.05%      77.05%        61
Tulumba Tatlısı           96.61%      95.00%      95.80%        60
Yaprak Sarma              95.60%      96.67%      96.13%        90
Yulaf Ekmeği              83.02%      73.33%      77.88%        60
Çiğ Köfte                 93.94%      93.94%      93.94%       132
İskender                  85.25%      82.54%      83.87%        63
Şakşuka                   93.10%      90.00%      91.53%        60
Şekerpare                 92.75%      93.23%      92.99%       192
------------------------------------------------------------------
Accuracy                                          89.91%      4431
Macro avg                 89.04%      87.80%      88.29%      4431
Weighted avg              90.00%      89.91%      89.84%      4431
